_id,_labels,betweenness,code,degree,name,pagerank,_start,_end,_type
4098,:skills,0,preschool.A1,0,A.1 Learn to count - up to 3,0.15,,,
4099,:skills,2.037037037,preschool.A2,0,A.2 Count objects - up to 3,0.181875001,,,
4100,:skills,3.898148148,preschool.A3,0,A.3 Count dots - up to 3,0.181875001,,,
4101,:skills,3.898148148,preschool.A4,0,A.4 Count shapes - up to 3,0.181875001,,,
4102,:skills,3.388888889,preschool.A5,0,A.5 Count on ten frames - up to 3,0.253062501,,,
4103,:skills,3.861111111,preschool.A6,0,A.6 Represent numbers - up to 3,0.330359374,,,
4104,:skills,495.1666667,preschool.B1,0,B.1 Learn to count - up to 5,0.181875001,,,
4105,:skills,7.672222222,preschool.B2,0,B.2 Count objects - up to 5,0.258215628,,,
4106,:skills,16.27222222,preschool.B3,0,B.3 Count dots - up to 5,0.232449999,,,
4107,:skills,16.27222222,preschool.B4,0,B.4 Count shapes - up to 5,0.232449999,,,
4108,:skills,10.56666667,preschool.B5,0,B.5 Count on ten frames - up to 5,0.496824792,,,
4109,:skills,9.366666667,preschool.B6,0,B.6 Represent numbers - up to 5,0.672268777,,,
4110,:skills,9.533333333,preschool.C1,0,C.1 Learn to count - up to 10,0.18091875,,,
4111,:skills,8.544444444,preschool.C2,0,C.2 Count objects - up to 10,0.311001954,,,
4112,:skills,22.26111111,preschool.C3,0,C.3 Count dots - up to 10,0.267121146,,,
4113,:skills,22.26111111,preschool.C4,0,C.4 Count shapes - up to 10,0.267121146,,,
4114,:skills,15.2,preschool.C5,0,C.5 Count on ten frames - up to 10,0.685827551,,,
4115,:skills,9.516666667,preschool.C6,0,C.6 Represent numbers - up to 10,0.967130769,,,
4116,:skills,1.494444444,preschool.D1,0,D.1 Count objects - up to 20,0.282175834,,,
4117,:skills,4.894444444,preschool.D2,0,D.2 Count dots - up to 20,0.206763245,,,
4118,:skills,4.894444444,preschool.D3,0,D.3 Count shapes - up to 20,0.206763245,,,
4119,:skills,14,preschool.D4,0,D.4 Count on ten frames - up to 20,0.908702202,,,
4120,:skills,0,preschool.D5,0,D.5 Represent numbers - up to 20,1.387659331,,,
4121,:skills,0,preschool.E1,0,E.1 Are there enough?,0.233406255,,,
4122,:skills,0,preschool.E2,0,E.2 More,0.15,,,
4123,:skills,0,preschool.E3,0,E.3 Fewer,0.181875001,,,
4124,:skills,11,preschool.E4,0,E.4 Fewer and more - compare by counting,0.346932746,,,
4125,:skills,0,preschool.E5,0,E.5 Compare in a mixed group,0.444892835,,,
4126,:skills,0,preschool.F1,0,F.1 Inside and outside,0.15,,,
4127,:skills,0,preschool.F2,0,F.2 Above and below,0.213750003,,,
4128,:skills,0,preschool.F3,0,F.3 Beside and next to,0.213750003,,,
4129,:skills,0,preschool.F4,0,F.4 Left and right,0.15,,,
4130,:skills,0,preschool.F5,0,"F.5 Left, middle and right",0.213750003,,,
4131,:skills,0,preschool.F6,0,F.6 Top and bottom,0.15,,,
4132,:skills,0,preschool.F7,0,"F.7 Top, middle and bottom",0.213750003,,,
4133,:skills,0,preschool.G1,0,G.1 Same,0.213750003,,,
4134,:skills,0,preschool.G2,0,G.2 Different,0.15,,,
4135,:skills,0,preschool.G3,0,G.3 Same and different,0.395437507,,,
4136,:skills,0,preschool.G4,0,G.4 Classify shapes by colour,0.15,,,
4137,:skills,3,preschool.G5,0,G.5 Classify and sort by colour,0.277500005,,,
4138,:skills,490,preschool.H1,0,H.1 Colour patterns,0.213732025,,,
4139,:skills,19.5,preschool.H2,0,H.2 Size patterns,0.240836113,,,
4140,:skills,511.5,preschool.H3,0,H.3 Shape patterns,0.240836113,,,
4141,:skills,0,preschool.H4,0,H.4 What comes next?,0.179244386,,,
4142,:skills,0,preschool.I1,0,I.1 Long and short,0.15,,,
4143,:skills,0,preschool.I2,0,I.2 Tall and short,0.15,,,
4144,:skills,0,preschool.I3,0,I.3 Wide and narrow,0.213750003,,,
4145,:skills,0,preschool.I4,0,I.4 Light and heavy,0.15,,,
4146,:skills,0,preschool.I5,0,I.5 Holds more or less,0.15,,,
4147,:skills,0,preschool.I6,0,"I.6 Compare size, weight and capacity",0.777937458,,,
4148,:skills,0,preschool.J1,0,"J.1 Coin values - 5c, 10c and 20c",0.15,,,
